Kecamatan,Aktual,Prediksi
5,2.0,4
2,4.0,4
0,7.0,3
5,7.0,4
1,0.0,3
0,4.0,3
1,4.0,3
1,7.0,3
2,2.0,4
2,5.0,4
2,6.0,4
1,6.0,3
2,7.0,4
0,4.0,3
1,5.0,3
0,7.0,3
0,3.0,3
1,8.0,3
2,7.0,4
0,5.0,3
0,5.0,3
0,4.0,3
0,4.0,3
5,5.0,4
1,0.0,3
4,6.0,4
1,4.0,3
1,1.0,3
6,6.0,4
3,7.0,4
3,0.0,4
1,3.0,3
3,1.0,4
0,1.0,3
1,1.0,3
0,7.0,3
1,7.0,3
0,4.0,3
0,7.0,3
4,5.0,4
3,8.0,4
1,5.0,3
0,1.0,3
1,1.0,3
0,3.0,3
1,4.0,3
3,0.0,4
1,4.0,3
1,8.0,3
3,1.0,4
4,2.0,4
0,4.0,3
1,3.0,3
8,6.0,4
1,8.0,3
2,6.0,4
2,8.0,4
1,2.0,3
1,0.0,3
0,5.0,3
2,1.0,4
5,8.0,4
0,4.0,3
0,8.0,3
9,3.0,4
1,5.0,3
2,1.0,4
1,0.0,3
4,5.0,4
0,1.0,3
1,4.0,3
1,0.0,3
1,6.0,3
0,8.0,3
1,3.0,3
1,1.0,3
1,3.0,3
1,2.0,3
0,8.0,3
4,4.0,4
1,7.0,3
2,1.0,4
1,7.0,3
0,3.0,3
5,6.0,4
10,6.0,4
2,0.0,4
7,2.0,4
1,1.0,3
0,7.0,3
0,7.0,3
3,0.0,4
2,3.0,4
1,1.0,3
1,5.0,3
5,2.0,4
0,8.0,3
0,2.0,3
4,3.0,4
2,2.0,4
0,2.0,3
1,7.0,3
3,0.0,4
0,3.0,3
1,0.0,3
4,0.0,4
2,7.0,4
3,4.0,4
